OBJECTID,UCS,UCS_F,FASES,UCS_TIPO,DEPARTAMENTO,PAISAJE,CLIMA,TIPO_RELIEVE,LITOLOGIA,CARACTERISTICAS,PERFIL,PERFIL1,PERFIL2,PERFIL3,PERFIL4,AÅREA_ha,NUM_SUELO,SUELO1,SUELO2,SUELO3,SUELO4,PORC1,PORC2,PORC3,PORC4
12,VVD,VVDa,"a, b",Asociacion,Caqueta,Valle_aluvial,Calido_humedo,Terraza_alta,Depositos_aluviales_finos_y_medios,"Bien_a_pobremente_drenados,_profundos_a_superficiales,_extremada_a_fuertemente_acidos,_moderada_a_baja_capacidad_de_intercambio_cationico._Fertilidad_baja",CQ-63; CQ-45; CQ-18,CQ-63,CQ-45,CQ-18,NA,204.8426234,4,Typic_Hapludox,Typic_Kandiudox,Typic_Humaquepts,Typic_Dystrudepts,50,20,20,10
14,VVD,VVDb,"a, b",Asociacion,Caqueta,Valle_aluvial,Calido_humedo,Terraza_alta,Depositos_aluviales_finos_y_medios,"Bien_a_pobremente_drenados,_profundos_a_superficiales,_extremada_a_fuertemente_acidos,_moderada_a_baja_capacidad_de_intercambio_cationico._Fertilidad_baja",CQ-63; CQ-45; CQ-18,CQ-63,CQ-45,CQ-18,NA,549.3210062,4,Typic_Hapludox,Typic_Kandiudox,Typic_Humaquepts,Typic_Dystrudepts,50,20,20,10
15,VVD,VVDa,"a, b",Asociacion,Caqueta,Valle_aluvial,Calido_humedo,Terraza_alta,Depositos_aluviales_finos_y_medios,"Bien_a_pobremente_drenados,_profundos_a_superficiales,_extremada_a_fuertemente_acidos,_moderada_a_baja_capacidad_de_intercambio_cationico._Fertilidad_baja",CQ-63; CQ-45; CQ-18,CQ-63,CQ-45,CQ-18,NA,1043.718057,4,Typic_Hapludox,Typic_Kandiudox,Typic_Humaquepts,Typic_Dystrudepts,50,20,20,10
16,LVE,LVEai,"ai, b",Asociacion,Caqueta,Lomerio,Calido_humedo,Vallecitos,Sedimentos_coluvio_aluviales_heterometricos,"Pobre_a_moderadamente_bien_drenados,_muy_superficiales_a_moderadamente_profundos,_extremadamente_acidos._Fertilidad_baja",CQ-134; T-224; 103,CQ-134,T-224,103,NA,912.3390446,3,Typic_Endoaquepts,Typic_Epiaquepts,Aquic_Udifluvents,NA,40,30,30,NA
18,LVE,LVEai,"ai, b",Asociacion,Caqueta,Lomerio,Calido_humedo,Vallecitos,Sedimentos_coluvio_aluviales_heterometricos,"Pobre_a_moderadamente_bien_drenados,_muy_superficiales_a_moderadamente_profundos,_extremadamente_acidos._Fertilidad_baja",CQ-134; T-224; 103,CQ-134,T-224,103,NA,92.96653666,3,Typic_Endoaquepts,Typic_Epiaquepts,Aquic_Udifluvents,NA,40,30,30,NA
19,LVE,LVEai,"ai, b",Asociacion,Caqueta,Lomerio,Calido_humedo,Vallecitos,Sedimentos_coluvio_aluviales_heterometricos,"Pobre_a_moderadamente_bien_drenados,_muy_superficiales_a_moderadamente_profundos,_extremadamente_acidos._Fertilidad_baja",CQ-134; T-224; 103,CQ-134,T-224,103,NA,182.4429167,3,Typic_Endoaquepts,Typic_Epiaquepts,Aquic_Udifluvents,NA,40,30,30,NA
31,LVA,LVAb,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,194.3528046,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
32,LVA,LVAb,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,99.31234514,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
33,MUA,MUAg,"e, f, f2, g",Asociacion,Caqueta,Montana_estructural_erosional,Calido_muy_humedo,Filas_y_vigas,Granito_y_neiss_con_inclusiones_de_areniscas,"Bien_drenados,_superficiales_a_profundos,_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",T-243; T-223,T-243,T-223,NA,NA,5962.237863,2,Lithic_Udorthents,Oxic_Dystrudepts,NA,NA,60,40,NA,NA
35,MUB,MUBg,"c, e, f, f2, g",Asociacion,Caqueta,Montana_estructural_erosional,Calido_muy_humedo,Hogbacks_y_espinazos,"Estratos_fuertemente_basculados_de_areniscas,_arcillolitas_y_conglomerados","Bien_a_excesivamente_drenados,_moderadamente_profundos_a_superficiales,_muy_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",CQ-3; T-244,CQ-3,T-244,NA,NA,6701.159641,3,Lithic_Udorthents,Typic_Dystrudepts,Afloramientos_rocosos,NA,50,40,10,NA
