OBJECTID,UCS_F,UCS_TIPO,DEPTO,NUM_SUELOS,NIVEL_TAXO,RAO,NUCLEO
783,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
784,VVDa,Asociacion,Caqueta,4,4,0.55,Nucleo 2
785,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
786,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
787,LVCb,Asociacion,Caqueta,3,4,0.66,Nucleo 2
788,LVCb,Asociacion,Caqueta,3,4,0.66,Nucleo 2
789,LVCb,Asociacion,Caqueta,3,4,0.66,Nucleo 2
790,LVCb,Asociacion,Caqueta,3,4,0.66,Nucleo 2
791,LVCb,Asociacion,Caqueta,3,4,0.66,Nucleo 2
792,LVAb,Asociacion,Caqueta,4,4,0.5,Nucleo 2
793,LVCc,Asociacion,Caqueta,3,4,0.66,Nucleo 2
794,LVCc,Asociacion,Caqueta,3,4,0.66,Nucleo 2
795,LVCc,Asociacion,Caqueta,3,4,0.66,Nucleo 2
796,LVAc,Asociacion,Caqueta,4,4,0.5,Nucleo 2
797,VVCa,Asociacion,Caqueta,3,4,0.28,Nucleo 2
798,LVDc,Asociacion,Caqueta,2,4,0.48,Nucleo 2
799,LVCc,Asociacion,Caqueta,3,4,0.66,Nucleo 2
800,VVCa,Asociacion,Caqueta,3,4,0.28,Nucleo 2
803,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
804,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
805,LVCc2,Asociacion,Caqueta,3,4,0.66,Nucleo 2
806,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
807,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
809,LVEai,Asociacion,Caqueta,3,4,0.54,Nucleo 2
