OBJECTID,UCS_F,UCS_TIPO,DEPTO,NUM_SUELOS,NIVEL_TAXO,RAO,NUCLEO_ID
241,LVDc,Asociacion,Guaviare,5,4,0.465,1
242,LVHai,Disociacion,Guaviare,6,4,0.64625,1
243,LVCc,Complejo,Guaviare,6,4,0.63,1
244,LVCb,Complejo,Guaviare,6,4,0.63,1
245,LVAb,Consociacion,Guaviare,4,4,0.4825,1
246,LVCb,Complejo,Guaviare,6,4,0.63,1
247,LVCb,Complejo,Guaviare,6,4,0.63,1
248,LVDd1,Asociacion,Guaviare,5,4,0.465,1
249,LVDd1,Asociacion,Guaviare,5,4,0.465,1
250,VVBa,Consociacion,Guaviare,4,4,0.57,1
251,LVCb,Complejo,Guaviare,6,4,0.63,1
252,LVDc,Asociacion,Guaviare,5,4,0.465,1
253,LVDc,Asociacion,Guaviare,5,4,0.465,1
254,LVFe2,Asociacion,Guaviare,3,4,0.605,1
255,LVDc,Asociacion,Guaviare,5,4,0.465,1
256,LVCb,Complejo,Guaviare,6,4,0.63,1
257,LVDc,Asociacion,Guaviare,5,4,0.465,1
258,LVHai,Disociacion,Guaviare,6,4,0.64625,1
259,LVBa,Consociacion,Guaviare,5,4,0.35375,1
260,VVBa,Consociacion,Guaviare,4,4,0.57,1
261,LVBb,Consociacion,Guaviare,5,4,0.35375,1
262,VVBa,Consociacion,Guaviare,4,4,0.57,1
263,LVEd1,Consociacion,Guaviare,1,4,0.095,1
264,VVBa,Consociacion,Guaviare,4,4,0.57,1
265,LVDc,Asociacion,Guaviare,5,4,0.465,1
266,LVAa,Consociacion,Guaviare,4,4,0.4825,1
267,LVAa,Consociacion,Guaviare,4,4,0.4825,1
268,LVDc,Asociacion,Guaviare,5,4,0.465,1
269,VVBa,Consociacion,Guaviare,4,4,0.57,1
270,LVBa,Consociacion,Guaviare,5,4,0.35375,1
271,LVHai,Disociacion,Guaviare,6,4,0.64625,1
272,LVBa,Consociacion,Guaviare,5,4,0.35375,1
273,LVDc,Asociacion,Guaviare,5,4,0.465,1
274,LVHai,Disociacion,Guaviare,6,4,0.64625,1
275,LVAa,Consociacion,Guaviare,4,4,0.4825,1
276,LVAa,Consociacion,Guaviare,4,4,0.4825,1
277,LVAb,Consociacion,Guaviare,4,4,0.4825,1
278,LVAb,Consociacion,Guaviare,4,4,0.4825,1
279,LVEd1,Consociacion,Guaviare,1,4,0.095,1
280,LVAb,Consociacion,Guaviare,4,4,0.4825,1
281,LVHai,Disociacion,Guaviare,6,4,0.64625,1
282,LVAb,Consociacion,Guaviare,4,4,0.4825,1
283,LVEd1,Consociacion,Guaviare,1,4,0.095,1
284,LVEd1,Consociacion,Guaviare,1,4,0.095,1
285,ZVCc,Consociacion,Guaviare,3,4,0.32,1
286,LVDd1,Asociacion,Guaviare,5,4,0.465,1
287,LVCb,Complejo,Guaviare,6,4,0.63,1
288,LVHai,Disociacion,Guaviare,6,4,0.64625,1
289,LVHai,Disociacion,Guaviare,6,4,0.64625,1
290,LVDc,Asociacion,Guaviare,5,4,0.465,1
291,VVBa,Consociacion,Guaviare,4,4,0.57,1
292,LVHai,Disociacion,Guaviare,6,4,0.64625,1
293,LVBa,Consociacion,Guaviare,5,4,0.35375,1
294,LVBa,Consociacion,Guaviare,5,4,0.35375,1
295,LVEd1,Consociacion,Guaviare,1,4,0.095,1
296,LVCb,Complejo,Guaviare,6,4,0.63,1
297,LVAa,Consociacion,Guaviare,4,4,0.4825,1
298,VVBa,Consociacion,Guaviare,4,4,0.57,1
299,VVBa,Consociacion,Guaviare,4,4,0.57,1
300,VVBa,Consociacion,Guaviare,4,4,0.57,1
301,LVHai,Disociacion,Guaviare,6,4,0.64625,1
302,LVDc,Asociacion,Guaviare,5,4,0.465,1
303,LVAb,Consociacion,Guaviare,4,4,0.4825,1
304,RVAai,Asociacion,Guaviare,3,4,0.405,1
305,LVBb,Consociacion,Guaviare,5,4,0.35375,1
306,LVHai,Disociacion,Guaviare,6,4,0.64625,1
307,LVAb,Consociacion,Guaviare,4,4,0.4825,1
308,LVCb,Complejo,Guaviare,6,4,0.63,1
309,VVBa,Consociacion,Guaviare,4,4,0.57,1
310,LVCb,Complejo,Guaviare,6,4,0.63,1
311,ZVBd1,Asociacion,Guaviare,3,4,0.375,1
312,LVHai,Disociacion,Guaviare,6,4,0.64625,1
313,LVHai,Disociacion,Guaviare,6,4,0.64625,1
314,ZVBc,Asociacion,Guaviare,3,4,0.375,1
315,LVGc,Asociacion,Guaviare,3,4,0.505,1
316,LVDc,Asociacion,Guaviare,5,4,0.465,1
317,LVHai,Disociacion,Guaviare,6,4,0.64625,1
318,LVHai,Disociacion,Guaviare,6,4,0.64625,1
319,LVAa,Consociacion,Guaviare,4,4,0.4825,1
320,LVBa,Consociacion,Guaviare,5,4,0.35375,1
321,LVCb,Complejo,Guaviare,6,4,0.63,1
322,LVAa,Consociacion,Guaviare,4,4,0.4825,1
323,LVCb,Complejo,Guaviare,6,4,0.63,1
324,LVDd1,Asociacion,Guaviare,5,4,0.465,1
325,LVBb,Consociacion,Guaviare,5,4,0.35375,1
326,LVDc,Asociacion,Guaviare,5,4,0.465,1
327,LVBa,Consociacion,Guaviare,5,4,0.35375,1
328,RVAai,Asociacion,Guaviare,3,4,0.405,1
329,RVBai,Complejo,Guaviare,3,4,0.345,1
330,RVBai,Complejo,Guaviare,3,4,0.345,1
331,LVDc,Asociacion,Guaviare,5,4,0.465,1
332,LVCb,Complejo,Guaviare,6,4,0.63,1
333,LVCc,Complejo,Guaviare,6,4,0.63,1
334,VVBa,Consociacion,Guaviare,4,4,0.57,1
335,LVCb,Complejo,Guaviare,6,4,0.63,1
336,LVDc,Asociacion,Guaviare,5,4,0.465,1
337,LVAb,Consociacion,Guaviare,4,4,0.4825,1
338,LVHai,Disociacion,Guaviare,6,4,0.64625,1
339,LVCb,Complejo,Guaviare,6,4,0.63,1
340,RVAai,Asociacion,Guaviare,3,4,0.405,1
341,RVAai,Asociacion,Guaviare,3,4,0.405,1
342,ZVBd1,Asociacion,Guaviare,3,4,0.375,1
343,LVHai,Disociacion,Guaviare,6,4,0.64625,1
344,LVDd1,Asociacion,Guaviare,5,4,0.465,1
345,LVBb,Consociacion,Guaviare,5,4,0.35375,1
346,LVAa,Consociacion,Guaviare,4,4,0.4825,1
347,LVHai,Disociacion,Guaviare,6,4,0.64625,1
348,LVHai,Disociacion,Guaviare,6,4,0.64625,1
349,LVCc,Complejo,Guaviare,6,4,0.63,1
350,LVBa,Consociacion,Guaviare,5,4,0.35375,1
351,LVAa,Consociacion,Guaviare,4,4,0.4825,1
352,LVCb,Complejo,Guaviare,6,4,0.63,1
353,LVDc,Asociacion,Guaviare,5,4,0.465,1
354,LVBb,Consociacion,Guaviare,5,4,0.35375,1
355,LVDc,Asociacion,Guaviare,5,4,0.465,1
356,LVAa,Consociacion,Guaviare,4,4,0.4825,1
357,VVBa,Consociacion,Guaviare,4,4,0.57,1
358,LVBb,Consociacion,Guaviare,5,4,0.35375,1
359,AVAc,Consociacion,Guaviare,5,4,0.49125,1
360,RVCai,Asociacion,Guaviare,6,4,0.39625,1
361,LVHai,Disociacion,Guaviare,6,4,0.64625,1
362,RVAai,Asociacion,Guaviare,3,4,0.405,1
363,ZVCc,Consociacion,Guaviare,3,4,0.32,1
364,LVCb,Complejo,Guaviare,6,4,0.63,1
365,LVHai,Disociacion,Guaviare,6,4,0.64625,1
366,LVDd1,Asociacion,Guaviare,5,4,0.465,1
367,LVHai,Disociacion,Guaviare,6,4,0.64625,1
368,LVHai,Disociacion,Guaviare,6,4,0.64625,1
369,LVDc,Asociacion,Guaviare,5,4,0.465,1
370,LVAa,Consociacion,Guaviare,4,4,0.4825,1
371,LVHai,Disociacion,Guaviare,6,4,0.64625,1
372,LVAa,Consociacion,Guaviare,4,4,0.4825,1
373,LVDc,Asociacion,Guaviare,5,4,0.465,1
374,LVHai,Disociacion,Guaviare,6,4,0.64625,1
375,LVAb,Consociacion,Guaviare,4,4,0.4825,1
376,LVHai,Disociacion,Guaviare,6,4,0.64625,1
377,LVDc,Asociacion,Guaviare,5,4,0.465,1
378,LVDd1,Asociacion,Guaviare,5,4,0.465,1
379,RVDa,Asociacion,Guaviare,4,4,0.555,1
380,LVAb,Consociacion,Guaviare,4,4,0.4825,1
381,LVBa,Consociacion,Guaviare,5,4,0.35375,1
382,VVBa,Consociacion,Guaviare,4,4,0.57,1
